Ano,Votos Derecha,Votos Izquierda,Votos Centro Izquierda,Votos Centro Derecha,Votos Regionalista Izquierda,Votos Regionalista Derecha,Total Votos
1996,18992,2291978,9981081,9763799,993752,2107177,25156779
2000,37585,2816419,6812414,921528,2148455,10496645,23233046
2004,1601836,2218177,9204536,459154,9992070,2573133,26048906
2008,65242,1158837,12060231,11178749,1091884,648492,26203435
2011,1466587,12153839,6155573,1129559,1905118,1349859,24160535
2015,1096074,8222560,4030318,7316158,1871311,2568332,25104753
2016,881269,8080318,391541,1756741,1446347,11558088,24114304
2019a,918382,3443747,2205177,8979336,615125,10072174,26233941
2019b,117732,5867769,904374,14674056,1763932,1001110,24328973
2023,8707648,6954855,8354,6751458,1032860,1438922,24894097
